,Código IBGE,UF,MUNICiPIO,CoDIGO_NACIONAL
0,2919553,BA,LUIS EDUARDO MAGALHAES,77
1,3530805,SP,MOGI-MIRIM,19
2,5222302,GO,VILA PROPICIO,62
3,5208152,GO,GAMELEIRA DE GOIAS,62
4,5210158,GO,IPIRANGA DE GOIAS,62
5,5204854,GO,CAMPO LIMPO DE GOIAS,62
6,5203500,GO,BOM JESUS,64
7,5107792,MT,SANTO ANTONIO DO LESTE,66
8,5107578,MT,RONDOLANDIA,66
9,5106315,MT,NOVO SANTO ANTONIO,66
10,5106216,MT,NOVA CANÃA DO NORTE,66
11,5103437,MT,CURVELANDIA,65
12,5103361,MT,CONQUISTA DO OESTE,65
13,5006275,MS,PARAISO DAS ÁGUAS,67
14,5002001,MS,BATAIPORÃ,67
15,5000609,MS,AMAMBAÍ,67
16,4319364,RS,SAO PEDRO DAS MISSÕES,55
17,4318614,RS,SAO JOSE DO SUL,51
18,4317103,RS,SANTANA DO LIVRAMENTO,55
19,4316733,RS,SANTA CECILIA DO SUL,54
20,4315552,RS,RIO DOS INDIOS,54
21,4315313,RS,QUATRO IRMAOS,54
22,4313953,RS,PÂNTANO GRANDE,51
23,4305405,RS,CHIAPETA,55
24,4304655,RS,CAPAO DO CIPO,55
25,4304622,RS,CAPAO BONITO DO SUL,54
26,4300471,RS,ALMIRANTE TAMANDARE DO SUL,54
27,4217204,SC,SÃO MIGUEL D'OESTE,49
28,4213906,SC,PRESIDENTE CASTELO BRANCO,49
29,4212809,SC,PIÇARRAS,47
30,4128625,PR,VILA ALTA,44
31,3548054,SP,SANTO ANTÔNIO DO ARACANGUA,18
32,3530706,SP,MOGI-GUAÇU,19
33,3520905,SP,IPAUÇU,14
34,3515004,SP,EMBU,11
35,3507803,SP,BRODÓSQUI,16
36,3305901,RJ,TRAJANO DE MORAIS,22
37,3303807,RJ,PARATI,24
38,3300233,RJ,ARMAÇÃO DE BÚZIOS,22
39,3203320,ES,MARATAIZES,28
40,3170750,MG,VARJÃO,38
41,3169059,MG,TOCOS DO MOGI,35
42,3165206,MG,SAO THOME DAS LETRAS,35
43,3153806,MG,QUELUZITA,31
44,3151503,MG,PIUÍ,37
45,3150539,MG,PINGO D'ÁGUA,33
46,3147808,MG,PASSA VINTE,32
47,3145455,MG,OLHOS D'AGUA,38
48,3127602,MG,GOUVÊA,38
49,3131802,MG,ITABIRINHA DE MANTENA,33
50,3122900,MG,DONA EUZÉBIA,32
51,3108552,MG,BRASILÂNDIA,38
52,3108800,MG,BRASÓPOLIS,35
53,2919504,BA,LIVRAMENTO DO BRUMADO,77
54,2703759,AL,JEQUIA DA PRAIA,82
55,2611533,PE,QUIXABÁ,87
56,2608057,PE,JATOBA,87
57,2607604,PE,ITAMARACÁ,81
58,2515401,PB,SERIDO,83
